,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2041-01-31,73354.51574430136,0.0,-2660.5264777725906,0.0,73354.51574430136,0.0,0.0,0.0,1314.041430439463,7017.980365256005
2041-02-28,68236.55610451901,0.0,-2474.9009986095,0.0,68236.55610451901,0.0,0.0,0.0,1219.3657735440981,6703.506259011371
2041-03-31,77317.2066818899,0.0,-2802.70260978592,0.0,77315.71246646716,0.0,0.0,0.0,1381.0741298672397,7618.504879178946
2041-04-30,76768.93579264382,0.0,-2784.3655468834577,0.0,76768.93579264382,0.0,0.0,0.0,1373.0370070062067,7554.477702472193
2041-05-31,74105.57804195477,0.0,-2687.767079241885,0.0,74105.57804195477,0.0,0.0,0.0,1329.9125395625972,7302.879947654146
2041-06-30,63790.28565457452,0.0,-2313.6373035337933,0.0,63790.28565457452,0.0,0.0,0.0,1153.20893409366,6343.751833916459
2041-07-31,68566.89505034091,0.0,-2486.882203898377,0.0,68566.89505034091,0.0,0.0,0.0,1235.3555166501606,6747.078667656643
2041-08-31,68066.33978660245,0.0,-2468.727349773148,0.0,68066.33978660245,0.0,0.0,0.0,1224.1345233151876,6747.721450662941
2041-09-30,70294.75125862601,0.0,-2549.5505637843657,0.0,70294.75125862601,0.0,0.0,0.0,1258.4273336118506,6909.19547971823
2041-10-31,75579.71558768499,0.0,-2741.2332078434997,0.0,75579.71558768499,0.0,0.0,0.0,1351.3114691762037,7412.042180100203
2041-11-30,67357.94626945104,0.0,-2443.034320653667,0.0,67357.94626945104,0.0,0.0,0.0,1206.834325501576,6613.814944168396
2041-12-31,64651.00213007714,0.0,-2344.854999536479,0.0,64651.00213007714,0.0,0.0,0.0,1158.8481982489898,6577.350151332053
