,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2034-01-31,76241.83530981766,0.0,-2765.2479127913166,0.0,76241.83530981766,0.0,0.0,0.0,1301.8573974276853,6972.680658390947
2034-02-28,70922.42679052833,0.0,-2567.9715479361635,0.0,70918.23439661824,0.0,0.0,0.0,1207.9926602397454,6641.003709009608
2034-03-31,80360.5023991141,0.0,-2831.899282137016,0.0,80280.66762240733,0.0,0.0,0.0,1367.2209766311662,7540.0548919024195
2034-04-30,79790.65092618261,0.0,-2893.9614325558496,0.0,79790.65092618261,0.0,0.0,0.0,1360.6094045917857,7486.405729670022
2034-05-31,77022.46029826021,0.0,-2793.560736206331,0.0,77022.46029826021,0.0,0.0,0.0,1317.0102886809357,7233.601190561833
2034-06-30,66301.14593347473,0.0,-2404.7047747892407,0.0,66301.14593347473,0.0,0.0,0.0,1141.077725129465,6275.811438572808
2034-07-31,71265.76826375902,0.0,-2584.7687971311575,0.0,71265.76826375902,0.0,0.0,0.0,1222.315935536736,6677.762381051778
2034-08-31,70745.51055918307,0.0,-2565.8993467061237,0.0,70745.51055918307,0.0,0.0,0.0,1212.7161509540592,6682.786595358628
2034-09-30,73061.63491401842,0.0,-2649.9038569851264,0.0,73061.63491401842,0.0,0.0,0.0,1247.041805719388,6846.893079831265
2034-10-31,78554.62162255213,0.0,-2849.1313541858317,0.0,78554.62162255213,0.0,0.0,0.0,1338.86154213269,7344.232819012538
2034-11-30,70009.23384436616,0.0,-2539.195009899293,0.0,70009.23384436616,0.0,0.0,0.0,1195.9202616971293,6554.663715378061
2034-12-31,67195.74121650358,0.0,-2437.151235831738,0.0,67195.74121650358,0.0,0.0,0.0,1147.7032202917128,6494.675376671742
