,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2057-01-31,67158.88137988905,0.0,-2435.814350565926,0.0,67158.88137988905,0.0,0.0,0.0,1160.5608069680572,6163.854628845562
2057-02-28,62473.192423079265,0.0,-2265.8670827023584,0.0,62473.192423079265,0.0,0.0,0.0,1077.2889187589365,5921.803509809087
2057-03-31,70786.87739243645,0.0,-2567.399698171272,0.0,70786.87739243645,0.0,0.0,0.0,1220.4064632568463,6735.015020852299
2057-04-30,70284.91429934924,0.0,-2549.1937828779537,0.0,70284.91429934924,0.0,0.0,0.0,1212.32354236438,6668.896138847572
2057-05-31,67846.50780949889,0.0,-2460.754169256438,0.0,67846.50780949889,0.0,0.0,0.0,1176.3821323803002,6457.6736034212945
2057-06-30,58402.46076190099,0.0,-2118.2239654575505,0.0,58402.46076190099,0.0,0.0,0.0,1021.2003443802095,5618.325983228085
2057-07-31,62775.630437324275,0.0,-2276.8363371050273,0.0,62775.630437324275,0.0,0.0,0.0,1097.333272079353,5990.69379917735
2057-08-31,62317.35283518358,0.0,-2260.2148696698728,0.0,62317.35283518358,0.0,0.0,0.0,1081.9534702539486,5966.70019038296
2057-09-30,64357.549272944685,0.0,-2334.2116316612082,0.0,64357.549272944685,0.0,0.0,0.0,1113.7522101773711,6115.236500231628
2057-10-31,69196.13744806722,0.0,-2509.704467028347,0.0,69196.13744806722,0.0,0.0,0.0,1193.231368671284,6545.8128610978565
2057-11-30,61668.79131574706,0.0,-2236.691913006372,0.0,61668.79131574706,0.0,0.0,0.0,1065.4568985833312,5838.169537356092
2057-12-31,59190.47981012826,0.0,-2146.8049672067264,0.0,59190.47981012826,0.0,0.0,0.0,1023.5900391684771,5844.0146742177185
