,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2038-01-31,74578.30215693505,0.0,-2704.912513463968,0.0,74578.30215693505,0.0,0.0,0.0,1227.166078860867,6563.380947419578
2038-02-28,69374.95868762262,0.0,-2516.19021146818,0.0,69374.95868762262,0.0,0.0,0.0,1138.9709383626146,6261.673889686534
2038-03-31,78607.10337113959,0.0,-2825.687977328632,0.0,78582.64365127182,0.0,0.0,0.0,1289.7355069825956,7113.753051009627
2038-04-30,78049.68558128495,0.0,-2830.8176117564517,0.0,78049.68558128495,0.0,0.0,0.0,1282.5148362232196,7056.3526724373305
2038-05-31,75341.89456027566,0.0,-2732.6075747250266,0.0,75341.89456027566,0.0,0.0,0.0,1241.7436419887888,6819.541103570691
2038-06-30,64854.5103181823,0.0,-2352.23612552993,0.0,64854.5103181823,0.0,0.0,0.0,1076.0907462789025,5918.980541246934
2038-07-31,69710.80873674006,0.0,-2528.3713013325428,0.0,69710.80873674006,0.0,0.0,0.0,1152.9445622378132,6297.804594111485
2038-08-31,69201.90262064684,0.0,-2509.91356655196,0.0,69201.90262064684,0.0,0.0,0.0,1142.9419282321307,6299.3094962926825
2038-09-30,71467.49107698485,0.0,-2592.0851685953076,0.0,71467.49107698485,0.0,0.0,0.0,1175.4277571472933,6453.756737120083
2038-10-31,76840.6254044622,0.0,-2786.9656882447453,0.0,76840.6254044622,0.0,0.0,0.0,1262.1816887705586,6923.216369967227
2038-11-30,68481.69084865056,0.0,-2483.7918960650486,0.0,68481.69084865056,0.0,0.0,0.0,1127.2183532966615,6177.725546496415
2038-12-31,65729.58627949383,0.0,-2383.9746318987422,0.0,65729.58627949383,0.0,0.0,0.0,1081.9760348641728,6131.931341898336
