year,year,final_NH3_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],total_grid_export_revenues,grid_import_cost,solar_cost,wind_cost,grid_fixed_opex,HB_refurbishment,water_consumption_cost,electrolyser_stack_replacment,PV_opex,wind_opex,revenues_from_NH3_EUR,revenues_from_H2_EUR,product_revenues,total_revenues_EUR,total_OPEX_EUR,total_costs_EUR,D_and_A_EUR,taxes,cashflows,cashflows_NPV,RES_revenues_NPV,green_NH3_rev_NPV,grey_NH3_rev_NPV,green_H2_rev_NPV,grey_H2_rev_NPV,CAPEX_deployments_USD
1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-234502041.81385636
2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1758765313.6039226
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-938008167.2554255
4,1,168460.67663993064,161109.55171733425,7351.124922596398,0.0,0.0,0.0,0.0,0.0,0.0,3823903.146488511,0.0,22728938.21298605,39490518.07359617,123405057.51090942,112895061.17721218,236300118.68812162,236300118.68812162,79445421.12030572,83269324.26679423,146563776.13366023,1358073.8404101026,151672720.58091727,141750206.15038997,0.0,112927255.87663615,2404573.5728119058,104133986.88570876,1375416.0836484102,-0.0
5,2,157869.09270107507,151145.67329334,6723.4194077350985,0.0,0.0,0.0,0.0,0.0,0.0,3582654.952128684,0.0,21751806.289810944,37792794.86669391,115712451.76271227,105878376.21510251,221590827.9778148,221590827.9778148,77183989.1462377,80766644.09836638,146563776.13366023,0.0,140824183.8794484,123001296.07777832,0.0,99012363.49899991,2055373.213998851,91302600.79454444,1175673.4784073427,-0.0
6,3,165871.28573321935,158974.20352159307,6897.082211626253,0.0,0.0,0.0,0.0,0.0,0.0,3764257.2255012095,0.0,21052722.286235094,37433932.60868772,121644631.415264,111327355.01430133,232971986.4295653,232971986.4295653,76549388.19640926,80313645.42191046,146563776.13366023,1279858.62353887,151378482.38411596,123569933.7771131,0.0,97327728.61131796,1970525.7481322603,89749142.81011666,1127140.7279316527,-0.0
7,4,164860.01349463765,158053.8074334213,6806.206061216359,0.0,0.0,0.0,0.0,0.0,0.0,3741307.584117641,0.0,20373544.831006493,37036077.29167219,120922527.69649169,110672615.67440966,231595143.37090135,231595143.37090135,75905861.02340081,79647168.60751845,146563776.13366023,1130681.7122417637,150817293.05114114,115057790.76268406,0.0,90433869.70262897,1817347.7057087815,83392085.71511759,1039522.887665423,-0.0
8,5,146269.976564947,139750.72215406754,6519.254410879479,0.0,0.0,0.0,0.0,0.0,0.0,3319426.8871328817,0.0,19713854.377555363,36603244.83779495,107094780.65935847,97956754.17481117,205051534.83416963,205051534.83416963,75257247.84968975,78576674.73682263,146563776.13366023,0.0,126474860.09734699,90174827.30153887,0.0,74730250.10153419,1626848.4034232541,68911254.6269614,930557.2867581014,-0.0
9,6,148244.67972791055,141760.33536972362,6484.344358186934,0.0,0.0,0.0,0.0,0.0,0.0,3364241.35977009,0.0,19073230.661264967,36139177.9417922,108589772.05265814,99339613.68220988,207929385.73486802,207929385.73486802,74607120.80462076,77971362.16439085,146563776.13366023,0.0,129958023.57047717,86596518.42875049,0.0,70845672.83942717,1512277.3538692181,65329156.44766378,865022.6464131926,-0.0
10,7,153566.45815317857,146889.4150402977,6677.043112880864,0.0,0.0,0.0,0.0,0.0,0.0,3485012.870193351,0.0,18451253.536614638,35647362.14122636,112504026.36973158,102925463.47306864,215429489.8428002,215429489.8428002,73958800.97224212,77443813.84243546,146563776.13366023,0.0,137985676.00036472,85930544.11299792,0.0,68606508.97644295,1455344.4062845954,63264348.810810596,832457.0003947886,-0.0
