,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2039-01-31,74168.12149507191,0.0,-2690.035494639916,0.0,74168.12149507191,0.0,0.0,0.0,1209.0074463806138,6463.9590516386315
2039-02-28,68993.3964148407,0.0,-2502.351165305105,0.0,68993.3964148407,0.0,0.0,0.0,1122.2866265477562,6169.941045611894
2039-03-31,78174.76430259831,0.0,-2818.626202168244,0.0,78158.62183709972,0.0,0.0,0.0,1270.9424460062075,7010.284310140679
2039-04-30,77620.41231058788,0.0,-2815.2481148917914,0.0,77620.41231058788,0.0,0.0,0.0,1263.6639564763857,6952.650842922231
2039-05-31,74927.51414019415,0.0,-2717.578233064039,0.0,74927.51414019415,0.0,0.0,0.0,1223.63225850641,6719.83424353604
2039-06-30,64497.8105114323,0.0,-2339.2988268395156,0.0,64497.8105114323,0.0,0.0,0.0,1060.4170652721893,5832.970533230754
2039-07-31,69327.39928868799,0.0,-2514.465259175214,0.0,69327.39928868799,0.0,0.0,0.0,1136.1920949432438,6206.058753816689
2039-08-31,68821.29215623328,0.0,-2496.109041935924,0.0,68821.29215623328,0.0,0.0,0.0,1126.163605986504,6207.121159354443
2039-09-30,71074.41987606142,0.0,-2577.8287001680333,0.0,71074.41987606142,0.0,0.0,0.0,1158.1608414311493,6358.906191734003
2039-10-31,76418.00196473766,0.0,-2771.6373769593993,0.0,76418.00196473766,0.0,0.0,0.0,1243.6810900404557,6821.649969433512
2039-11-30,68105.04154898299,0.0,-2470.131040636691,0.0,68105.04154898299,0.0,0.0,0.0,1110.6353852750215,6086.831351444706
2039-12-31,65368.073554956616,0.0,-2370.8627714232994,0.0,65368.073554956616,0.0,0.0,0.0,1066.188489669927,6044.665620433237
