year,year,final_NH3_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],total_grid_export_revenues,grid_import_cost,solar_cost,wind_cost,grid_fixed_opex,HB_refurbishment,water_consumption_cost,electrolyser_stack_replacment,PV_opex,wind_opex,revenues_from_NH3_EUR,revenues_from_H2_EUR,product_revenues,total_revenues_EUR,total_OPEX_EUR,total_costs_EUR,D_and_A_EUR,taxes,cashflows,cashflows_NPV,RES_revenues_NPV,green_NH3_rev_NPV,grey_NH3_rev_NPV,green_H2_rev_NPV,grey_H2_rev_NPV,CAPEX_deployments_USD
1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47630810.62276274
2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-357231079.6707205
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-190523242.49105096
4,1,880.2651303606596,880.26513036066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259866.74475201068,0.0,22811844.518835,0.0,0.0,560728.8880397404,560728.8880397404,560728.8880397404,25503624.518835,25763491.263587013,39692342.18563561,0.0,-25202762.37554727,-23228352.419859238,0.0,0.0,0.0,516800.8184698068,0.0,-0.0
5,2,908.5661298930102,908.5661298930094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257340.9813669063,0.0,21340112.61439403,0.0,0.0,578756.6247418469,578756.6247418469,578756.6247418469,24072269.31439403,24329610.295760937,39692342.18563561,0.0,-23750853.67101909,-20175288.216797203,0.0,0.0,0.0,491627.8746559468,0.0,-0.0
6,3,900.1729643763183,900.1729643763191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254671.38339527373,0.0,20190686.54666882,0.0,0.0,573410.1783077152,573410.1783077152,573410.1783077152,22963825.597168818,23218496.98056409,39692342.18563561,0.0,-22645086.802256376,-17729021.847153343,0.0,0.0,0.0,448927.4723197188,0.0,-0.0
7,4,891.8518149852252,891.8518149852262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145582.24102998278,0.0,19100748.90968279,0.0,0.0,568109.606145589,568109.606145589,568109.606145589,21915485.04594029,22061067.286970273,39692342.18563561,0.0,-21492957.680824682,-15508765.555342479,0.0,0.0,0.0,409933.28244025225,0.0,-0.0
8,5,883.6021654499756,883.6021654499757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10694.574740391094,0.0,18067408.06853401,0.0,0.0,562854.5793916344,562854.5793916344,562854.5793916344,20924365.24683537,20935059.82157576,39692342.18563561,0.0,-20372205.242184125,-13548441.858607242,0.0,0.0,0.0,374323.86200134427,0.0,-0.0
9,6,875.4235013165045,875.4235013165045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10595.585305566075,0.0,17087897.891967654,0.0,0.0,557644.7703386134,557644.7703386134,557644.7703386134,19987709.427943535,19998305.013249103,39692342.18563561,0.0,-19440660.24291049,-11916057.253689475,0.0,0.0,0.0,341805.62427136034,0.0,-0.0
10,7,867.3153099783094,867.3153099783094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10497.448828103297,0.0,16159573.594298378,0.0,0.0,552479.8524561832,552479.8524561832,552479.8524561832,19102882.303313896,19113379.752142,39692342.18563561,0.0,-18560899.89968582,-10485541.447387585,0.0,0.0,0.0,312110.42692353216,0.0,-0.0
