year,year,final_NH3_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],total_grid_export_revenues,grid_import_cost,solar_cost,wind_cost,grid_fixed_opex,HB_refurbishment,water_consumption_cost,electrolyser_stack_replacment,PV_opex,wind_opex,revenues_from_NH3_EUR,revenues_from_H2_EUR,product_revenues,total_revenues_EUR,total_OPEX_EUR,total_costs_EUR,D_and_A_EUR,taxes,cashflows,cashflows_NPV,RES_revenues_NPV,green_NH3_rev_NPV,grey_NH3_rev_NPV,green_H2_rev_NPV,grey_H2_rev_NPV,CAPEX_deployments_USD
1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51764815.46186093
2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-388236115.963957
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207059261.84744373
4,1,63224.599322510316,61810.54493485763,1414.0543876526822,0.0,0.0,0.0,0.0,0.0,0.0,765436.233664691,0.0,22811844.518835,0.0,0.0,39579203.44234654,39579203.44234654,39579203.44234654,28195404.518835,28960840.752499692,43137346.21821745,0.0,10618362.689846851,9786509.391563918,0.0,0.0,0.0,36288771.542400286,189756.9758914567,-0.0
5,2,61157.407734835506,61153.62426717048,3.7834676650289456,0.0,0.0,0.0,0.0,0.0,0.0,740211.8946515799,0.0,21340112.61439403,0.0,0.0,38955409.53107962,38955409.53107962,38955409.53107962,26804426.01439403,27544637.90904561,43137346.21821745,0.0,11410771.62203401,9692940.280773861,0.0,0.0,0.0,33090410.633640632,467.9418904867077,-0.0
6,3,60490.25070647336,60486.42568443728,3.8250220360754197,0.0,0.0,0.0,0.0,0.0,0.0,732137.0351543607,0.0,20190686.54666882,0.0,0.0,38530410.084194995,38530410.084194995,38530410.084194995,25736964.647668816,26469101.682823177,43137346.21821745,0.0,12061308.401371818,9442896.02510459,0.0,0.0,0.0,30165334.0710832,436.01969010155096,-0.0
7,4,59829.454588965855,59825.58967476314,3.864914202723377,0.0,0.0,0.0,0.0,0.0,0.0,724139.1641883473,0.0,19100748.90968279,0.0,0.0,38109463.35433204,38109463.35433204,38109463.35433204,24730221.18219779,25454360.34638614,43137346.21821745,0.0,12655103.007945899,9131596.895295784,0.0,0.0,0.0,27498402.69115287,406.05258505989167,-0.0
8,5,59175.58007571886,59171.67689514621,3.9031805726549247,0.0,0.0,0.0,0.0,0.0,0.0,716225.0680468275,0.0,18067408.06853401,0.0,0.0,37692926.48529951,37692926.48529951,37692926.48529951,23781322.42513673,24497547.493183557,43137346.21821745,0.0,13195378.992115956,8775526.407263095,0.0,0.0,0.0,25067130.302025963,377.94736996197935,-0.0
9,6,58528.310681585084,58524.3711621289,3.939519456187697,0.0,0.0,0.0,0.0,0.0,0.0,708390.9161871895,0.0,17087897.891967654,0.0,0.0,37280598.02430893,37280598.02430893,37280598.02430893,22887520.963919416,23595911.880106606,43137346.21821745,0.0,13684686.144202322,8387961.188332195,0.0,0.0,0.0,22850607.951554116,351.5816464084016,-0.0
10,7,57887.735260723,57883.66777250918,4.067488213815711,0.0,0.0,0.0,0.0,0.0,0.0,700637.7840473065,0.0,16159573.594298378,0.0,0.0,36872488.59737228,36872488.59737228,36872488.59737228,22046191.012329414,22746828.79637672,43137346.21821745,0.0,14125659.800995559,7979957.443633579,0.0,0.0,0.0,20829905.862989493,334.5642334131597,-0.0
11,8,57253.319164978515,57249.12671781751,4.192447161003289,0.0,0.0,0.0,0.0,0.0,0.0,692959.2005721312,0.0,15279907.591471061,0.0,0.0,36468304.1395564,36468304.1395564,36468304.1395564,21254824.270772565,21947783.471344694,43137346.21821745,0.0,14520520.668211706,7560391.4768783,0.0,0.0,0.0,18987613.948307518,317.82720393445646,-0.0
12,9,56625.16475767063,56620.85199051101,4.3127671596170405,0.0,0.0,0.0,0.0,0.0,2531434.9112426033,685356.4047061652,0.0,14446485.386743007,0.0,0.0,36068110.656853944,36068110.656853944,36068110.656853944,20511025.816234034,21196382.2209402,43137346.21821745,0.0,14871728.435913745,7136640.213199608,0.0,0.0,0.0,17308051.896122996,301.3351147011814,-0.0
13,10,56003.30696069286,55998.87750116801,4.4294595248498885,0.0,0.0,0.0,0.0,0.0,0.0,677829.8191238781,0.0,13657001.499413906,0.0,0.0,35671929.89755084,35671929.89755084,35671929.89755084,19812510.035347298,20490339.854471177,43137346.21821745,0.0,15181590.043079667,6714595.853123489,0.0,0.0,0.0,15776889.077079175,285.2428261355199,-0.0
14,11,55387.68049660852,55383.13796096723,4.542535641288824,0.0,0.0,0.0,0.0,0.0,0.0,670378.6537479504,0.0,12909255.448174128,0.0,0.0,35279720.2743255,35279720.2743255,35279720.2743255,19157096.61214652,19827475.26589447,43137346.21821745,0.0,15452245.008431029,6298896.40258591,0.0,0.0,0.0,14381025.99018835,269.6078905657303,-0.0
15,12,61657.335929421555,61652.13830414862,5.197625272939648,0.0,0.0,0.0,0.0,0.0,0.0,746265.1344769115,29341555.589332204,12201147.798969809,0.0,0.0,39273168.873982415,39273168.873982415,39273168.873982415,47884262.169733986,48630527.3042109,43137346.21821745,0.0,-9357358.430228487,-3515575.3207437815,0.0,0.0,0.0,14754711.363617558,284.3213563359957,-0.0
16,13,60978.63195003872,60973.3114343758,5.3205156629159625,0.0,0.0,0.0,0.0,0.0,0.0,738048.0752552013,0.0,11478809.92464583,0.0,0.0,38840774.050777905,38840774.050777905,38840774.050777905,17915492.087799285,18653540.163054485,43137346.21821745,0.0,20187233.88772342,6990209.924850516,0.0,0.0,0.0,13449081.270030664,268.2430661291802,-0.0
17,14,60306.05718334842,60300.6182480818,5.438935266618909,0.0,0.0,0.0,0.0,0.0,0.0,729907.640159539,0.0,10798891.722767528,0.0,0.0,38412285.73300293,38412285.73300293,38412285.73300293,17332124.118368283,18062031.758527823,43137346.21821745,0.0,20350253.974475108,6494616.313443656,0.0,0.0,0.0,12258712.58050025,252.73124124531756,-0.0
18,15,59639.62576916495,59634.072270664234,5.553498500717227,0.0,0.0,0.0,0.0,0.0,0.0,721841.5635603672,0.0,10158926.29647125,0.0,0.0,37987712.62579482,37987712.62579482,37987712.62579482,16790157.178006016,17511998.741566382,43137346.21821745,0.0,20475713.88422844,6022724.251231775,0.0,0.0,0.0,11173463.814882785,237.83839264480292,-0.0
