,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2040-01-31,73760.19682684902,0.0,-2675.240299419397,0.0,73760.19682684902,0.0,0.0,0.0,1333.5920159018272,7126.24189290481
2040-02-29,71083.95496227045,0.0,-2578.174532310329,0.0,71083.95496227045,0.0,0.0,0.0,1281.99647343063,7046.96289893391
2040-03-31,77972.2444433983,0.0,-2824.861591271949,0.0,77969.20732345678,0.0,0.0,0.0,1405.577028175101,7753.820701140455
2040-04-30,76974.82418633591,0.0,-2791.833001576953,0.0,76974.82418633591,0.0,0.0,0.0,1389.6254516949446,7647.246553254544
2040-05-31,73961.8030490212,0.0,-2682.5524421924815,0.0,73961.8030490212,0.0,0.0,0.0,1339.6188077725312,7363.956787191641
2040-06-30,64536.13548563475,0.0,-2340.6888518105893,0.0,64536.13548563475,0.0,0.0,0.0,1177.6574320444029,6464.949365282743
2040-07-31,68711.27578462391,0.0,-2492.118810841284,0.0,68711.27578462391,0.0,0.0,0.0,1249.461248964957,6830.971830001969
2040-08-31,68797.0852979512,0.0,-2495.2310729826886,0.0,68797.0852979512,0.0,0.0,0.0,1248.2603418719966,6875.8846137779965
2040-09-30,70738.41020161378,0.0,-2565.6418207839215,0.0,70738.41020161378,0.0,0.0,0.0,1278.1115725824377,7017.644876450811
2040-10-31,75926.19502615886,0.0,-2753.799819601619,0.0,75926.19502615886,0.0,0.0,0.0,1370.1111681313805,7514.115662313354
2040-11-30,67706.935405519,0.0,-2455.6919577131266,0.0,67706.935405519,0.0,0.0,0.0,1224.3681106693737,6707.130451524859
2040-12-31,62610.957533404726,0.0,-2270.8637447348883,0.0,62610.957533404726,0.0,0.0,0.0,1132.5855739576996,6439.499357089976
