,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2048-01-31,70576.54053335807,0.0,-2559.7709001736107,0.0,70576.54053335807,0.0,0.0,0.0,1184.756171159622,6312.961826583542
2048-02-29,68015.81129783431,0.0,-2466.894710284148,0.0,68015.81129783431,0.0,0.0,0.0,1139.248953602969,6261.965394646371
2048-03-31,74606.78668407896,0.0,-2705.9456310287733,0.0,74606.78668407896,0.0,0.0,0.0,1249.2291265441643,6892.220229147334
2048-04-30,73652.41733272534,0.0,-2671.3311985962587,0.0,73652.41733272534,0.0,0.0,0.0,1234.5149934350436,6794.022417964271
2048-05-31,70769.44497671678,0.0,-2566.767434388694,0.0,70769.44497671678,0.0,0.0,0.0,1189.9887029641852,6540.15970819406
2048-06-30,61750.61046353181,0.0,-2239.6594468638505,0.0,61750.61046353181,0.0,0.0,0.0,1046.5712175328974,5745.122778866362
2048-07-31,65745.54229967904,0.0,-2384.553347656755,0.0,65745.54229967904,0.0,0.0,0.0,1112.0014827241037,6078.861526910489
2048-08-31,65827.64808106284,0.0,-2387.5312775515044,0.0,65827.64808106284,0.0,0.0,0.0,1109.6761560685134,6113.33910566876
2048-09-30,67685.18102763826,0.0,-2454.9029388262597,0.0,67685.18102763826,0.0,0.0,0.0,1136.0590313413607,6237.916194529857
2048-10-31,72649.04936990075,0.0,-2634.9396144523607,0.0,72649.04936990075,0.0,0.0,0.0,1217.372774434125,6676.9313550418365
2048-11-30,64784.55151434285,0.0,-2349.6987595875667,0.0,64784.55151434285,0.0,0.0,0.0,1087.43815155205,5956.6198404836305
2048-12-31,59908.52752958238,0.0,-2172.8481487413314,0.0,59908.52752958238,0.0,0.0,0.0,1006.6034931513534,5739.765727163135
