,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2035-01-31,75822.50521561365,0.0,-2750.039049270964,0.0,75822.50521561365,0.0,0.0,0.0,1282.7710322888681,6868.0921579684045
2035-02-28,70532.35344318043,0.0,-2556.6629777200615,0.0,70530.90084616897,0.0,0.0,0.0,1190.3907296310404,6544.231539546066
2035-03-31,79918.51963591897,0.0,-2831.1226769961777,0.0,79853.40483196313,0.0,0.0,0.0,1347.448289362485,7431.308675004762
2035-04-30,79351.80234608862,0.0,-2878.0446446767914,0.0,79351.80234608862,0.0,0.0,0.0,1340.6708036245366,7376.520872083401
2035-05-31,76598.83676661977,0.0,-2778.1961521571966,0.0,76598.83676661977,0.0,0.0,0.0,1297.7934522555731,7127.936366082832
2035-06-30,65936.48963084062,0.0,-2391.4788985279,0.0,65936.48963084062,0.0,0.0,0.0,1124.5867480821682,6185.263865003941
2035-07-31,70873.80653830834,0.0,-2570.552568746937,0.0,70873.80653830834,0.0,0.0,0.0,1204.523849311509,6580.306113211255
2035-08-31,70356.41025110756,0.0,-2551.78690029924,0.0,70356.41025110756,0.0,0.0,0.0,1194.976282702015,6585.258820393329
2035-09-30,72659.79592199132,0.0,-2635.329385771708,0.0,72659.79592199132,0.0,0.0,0.0,1228.7478881777663,6746.499940716518
2035-10-31,78122.5712036281,0.0,-2833.4611317378094,0.0,78122.5712036281,0.0,0.0,0.0,1319.2677465403642,7236.664751417246
2035-11-30,69624.18305822214,0.0,-2525.2294373448467,0.0,69624.18305822214,0.0,0.0,0.0,1178.3750085381196,6458.366008214176
2035-12-31,66826.1646398128,0.0,-2423.7469040346637,0.0,66826.1646398128,0.0,0.0,0.0,1130.8527328892176,6401.73561629647
