,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2051-01-31,69418.42069343914,0.0,-2517.7665536480545,0.0,69418.42069343914,0.0,0.0,0.0,1133.4473995013757,6033.35582203031
2051-02-28,64575.083214327584,0.0,-2342.1014637320905,0.0,64575.083214327584,0.0,0.0,0.0,1051.9171350259587,5782.763596684726
2051-03-31,73168.47948385478,0.0,-2653.7790486372223,0.0,73168.47948385478,0.0,0.0,0.0,1191.6185424963103,6574.742720633434
2051-04-30,72649.6280013323,0.0,-2634.9606010845937,0.0,72649.6280013323,0.0,0.0,0.0,1183.9837268228616,6513.924437582207
2051-05-31,70129.1820966938,0.0,-2543.5454646469275,0.0,70129.1820966938,0.0,0.0,0.0,1146.6965554039427,6295.180626300404
2051-06-30,60367.3930744737,0.0,-2189.490940524955,0.0,60367.3930744737,0.0,0.0,0.0,994.6671795200125,5472.072802362539
2051-07-31,64887.696659864145,0.0,-2353.4397752282352,0.0,64887.696659864145,0.0,0.0,0.0,1068.730162747175,5836.019179678322
2051-08-31,64414.00045280805,0.0,-2336.259083780605,0.0,64414.00045280805,0.0,0.0,0.0,1056.2297006350566,5823.775737356625
2051-09-30,66522.83865415676,0.0,-2412.7454434150136,0.0,66522.83865415676,0.0,0.0,0.0,1086.6349534570204,5966.0812724524485
2051-10-31,71524.21959740069,0.0,-2594.142679698473,0.0,71524.21959740069,0.0,0.0,0.0,1165.393998021648,6392.755190825231
2051-11-30,63743.618286268545,0.0,-2311.9447046833175,0.0,63743.618286268545,0.0,0.0,0.0,1040.4377726164741,5701.152481528867
2051-12-31,61181.924774232844,0.0,-2219.033541034354,0.0,61181.924774232844,0.0,0.0,0.0,999.3988644105297,5692.461880404396
