,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2037-01-31,74990.75128902469,0.0,-2719.8718084102243,0.0,74990.75128902469,0.0,0.0,0.0,1245.4335388264724,6663.462505376234
2037-02-28,69758.6311589971,0.0,-2530.1057933315037,0.0,69758.6311589971,0.0,0.0,0.0,1155.884509498417,6354.615552704583
2037-03-31,79041.83345514287,0.0,-2829.323762381282,0.0,79005.6667149108,0.0,0.0,0.0,1308.7358608619304,7218.346637718379
2037-04-30,78481.33291230262,0.0,-2846.4732144358495,0.0,78481.33291230262,0.0,0.0,0.0,1301.6315615079532,7161.551004448508
2037-05-31,75758.56667699915,0.0,-2747.7200349170703,0.0,75758.56667699915,0.0,0.0,0.0,1260.188178063998,6921.031445570779
2037-06-30,65213.18282371272,0.0,-2365.244972880774,0.0,65213.18282371272,0.0,0.0,0.0,1092.0575237337966,6006.648868889537
2037-07-31,70096.33859903475,0.0,-2542.3542497059257,0.0,70096.33859903475,0.0,0.0,0.0,1169.878344735334,6390.545397634497
2037-08-31,69584.6180197555,0.0,-2523.7944359496832,0.0,69584.6180197555,0.0,0.0,0.0,1160.0376341597762,6393.208142966816
2037-09-30,71862.73612567606,0.0,-2606.4204812421394,0.0,71862.73612567606,0.0,0.0,0.0,1192.9378896720082,6549.9442983122035
2037-10-31,77265.58612816711,0.0,-2802.3787714879295,0.0,77265.58612816711,0.0,0.0,0.0,1280.936403362145,7026.196162298911
2037-11-30,68860.42317611922,0.0,-2497.528301724534,0.0,68860.42317611922,0.0,0.0,0.0,1144.027277574564,6269.886813646184
2037-12-31,66093.09832025523,0.0,-2397.15900643413,0.0,66093.09832025523,0.0,0.0,0.0,1097.9972204798605,6220.449148588257
