year,year,final_NH3_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],total_grid_export_revenues,grid_import_cost,solar_cost,wind_cost,grid_fixed_opex,HB_refurbishment,water_consumption_cost,electrolyser_stack_replacment,PV_opex,wind_opex,revenues_from_NH3_EUR,revenues_from_H2_EUR,product_revenues,total_revenues_EUR,total_OPEX_EUR,total_costs_EUR,D_and_A_EUR,taxes,cashflows,cashflows_NPV,RES_revenues_NPV,green_NH3_rev_NPV,grey_NH3_rev_NPV,green_H2_rev_NPV,grey_H2_rev_NPV,CAPEX_deployments_USD
1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186102564.685929
2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1395769235.1444674
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-744410258.743716
4,1,3481.385137520007,3481.3851375200093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927712.8066461202,0.0,22811844.518835,39808105.97637177,0.0,2217642.3326002457,2217642.3326002457,2217642.3326002457,73387070.49520677,74314783.3018529,155085470.5716075,0.0,-72097140.96925265,-66448977.851845756,0.0,0.0,0.0,2043909.98396336,0.0,-0.0
5,2,3584.2168698624873,3584.2168698624873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43381.181788960705,0.0,21340112.61439403,37239841.07467037,0.0,2283146.146102404,2283146.146102404,2283146.146102404,69508580.4890644,69551961.67085336,155085470.5716075,0.0,-67268815.52475096,-57141850.98409477,0.0,0.0,0.0,1939430.5643376622,0.0,-0.0
6,3,3553.945270182218,3553.945270182218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43014.792751562076,0.0,20190686.54666882,36056568.17311463,0.0,2263863.1371060726,2263863.1371060726,2263863.1371060726,67339810.92178345,67382825.71453501,155085470.5716075,0.0,-65118962.57742894,-50982163.16327672,0.0,0.0,0.0,1772396.7837791408,0.0,-0.0
7,4,3521.4388572595776,3521.4388572595776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42621.35489344304,0.0,19100748.90968279,34870971.10453936,0.0,2243156.552074351,2243156.552074351,2243156.552074351,65230664.55925214,65273285.91414559,155085470.5716075,0.0,-63030129.36207124,-45480920.48175306,0.0,0.0,0.0,1618604.0835640195,0.0,-0.0
8,5,3483.835377879108,3483.835377879108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42166.225241939086,0.0,18067408.06853401,33688274.93483077,0.0,2219203.135708992,2219203.135708992,2219203.135708992,63183511.71657023,63225677.941812165,155085470.5716075,0.0,-61006474.80610317,-40572076.860760204,0.0,0.0,0.0,1475870.8887506116,0.0,-0.0
9,6,3452.9321356026326,3452.9321356026326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41792.19118659846,0.0,17087897.891967654,32513040.201777443,0.0,2199517.770378877,2199517.770378877,2199517.770378877,61200184.23764862,61241976.42883522,155085470.5716075,0.0,-59042458.65845634,-36189785.1709706,0.0,0.0,0.0,1348183.6190157214,0.0,-0.0
10,7,3423.3145209109684,3423.3145209109684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41433.71758587726,0.0,16159573.594298378,31349226.912178103,0.0,2180651.349820287,2180651.349820287,2180651.349820287,59282035.34253856,59323469.060124435,155085470.5716075,0.0,-57142817.71030415,-32281483.481953897,0.0,0.0,0.0,1231907.4093616195,0.0,-0.0
